B1,B2,B3,B4,B5,B6,I,T,VT,TIME,PB1,PB2,PB3,PB4,PB5,PB6,PVT
3.81,3.81,3.82,3.78,3.78,3.76,132.0,20.2,23.16,2024-01-01 00:00:02,0.50292,0.50292,0.5042399999999999,0.49895999999999996,0.49895999999999996,0.49632,3.05712
3.82,3.78,3.83,3.79,3.77,3.78,80.0,20.2,23.25,2024-01-01 00:00:03,0.3056,0.3024,0.30639999999999995,0.30319999999999997,0.30160000000000003,0.3024,1.86
3.81,3.81,3.83,3.78,3.78,3.77,80.0,20.6,23.24,2024-01-01 00:00:05,0.3048,0.3048,0.30639999999999995,0.3024,0.3024,0.30160000000000003,1.8591999999999997
3.79,3.8,3.83,3.78,3.77,3.77,80.0,20.6,23.25,2024-01-01 00:00:06,0.30319999999999997,0.304,0.30639999999999995,0.3024,0.30160000000000003,0.30160000000000003,1.86
3.81,3.8,3.83,3.79,3.77,3.78,80.0,20.6,23.25,2024-01-01 00:00:08,0.3048,0.304,0.30639999999999995,0.30319999999999997,0.30160000000000003,0.3024,1.86
3.81,3.8,3.84,3.78,3.77,3.77,80.0,20.6,23.28,2024-01-01 00:00:09,0.3048,0.304,0.3072,0.3024,0.30160000000000003,0.30160000000000003,1.8624
3.82,3.8,3.83,3.78,3.78,3.78,80.0,20.6,23.25,2024-01-01 00:00:11,0.3056,0.304,0.30639999999999995,0.3024,0.3024,0.3024,1.86
3.81,3.8,3.83,3.79,3.78,3.78,80.0,20.6,23.25,2024-01-01 00:00:12,0.3048,0.304,0.30639999999999995,0.30319999999999997,0.3024,0.3024,1.86
3.81,3.8,3.83,3.79,3.78,3.78,80.0,20.6,23.22,2024-01-01 00:00:14,0.3048,0.304,0.30639999999999995,0.30319999999999997,0.3024,0.3024,1.8576
3.8,3.8,3.83,3.78,3.78,3.78,80.0,20.6,23.25,2024-01-01 00:00:15,0.304,0.304,0.30639999999999995,0.3024,0.3024,0.3024,1.86
3.81,3.8,3.83,3.78,3.77,3.78,80.0,20.6,23.24,2024-01-01 00:00:17,0.3048,0.304,0.30639999999999995,0.3024,0.30160000000000003,0.3024,1.8591999999999997
3.8,3.8,3.83,3.79,3.78,3.78,80.0,20.6,23.26,2024-01-01 00:00:18,0.304,0.304,0.30639999999999995,0.30319999999999997,0.3024,0.3024,1.8608000000000002
3.81,3.8,3.83,3.78,3.78,3.78,80.0,20.6,23.22,2024-01-01 00:00:20,0.3048,0.304,0.30639999999999995,0.3024,0.3024,0.3024,1.8576
3.81,3.8,3.83,3.78,3.78,3.78,80.0,20.6,23.25,2024-01-01 00:00:21,0.3048,0.304,0.30639999999999995,0.3024,0.3024,0.3024,1.86
3.81,3.8,3.83,3.78,3.77,3.78,80.0,20.6,23.24,2024-01-01 00:00:23,0.3048,0.304,0.30639999999999995,0.3024,0.30160000000000003,0.3024,1.8591999999999997
3.8,3.8,3.83,3.78,3.78,3.78,80.0,20.6,23.25,2024-01-01 00:00:24,0.304,0.304,0.30639999999999995,0.3024,0.3024,0.3024,1.86
3.81,3.8,3.83,3.79,3.77,3.78,80.0,20.6,23.21,2024-01-01 00:00:26,0.3048,0.304,0.30639999999999995,0.30319999999999997,0.30160000000000003,0.3024,1.8568000000000002
3.81,3.8,3.83,3.77,3.78,3.78,80.0,20.6,23.22,2024-01-01 00:00:27,0.3048,0.304,0.30639999999999995,0.30160000000000003,0.3024,0.3024,1.8576
3.81,3.8,3.83,3.78,3.78,3.78,80.0,20.6,23.22,2024-01-01 00:00:29,0.3048,0.304,0.30639999999999995,0.3024,0.3024,0.3024,1.8576
3.81,3.8,3.83,3.79,3.77,3.78,84.0,20.6,23.22,2024-01-01 00:00:30,0.32004000000000005,0.3192,0.32172,0.31836000000000003,0.31668,0.31751999999999997,1.95048
3.81,3.81,3.84,3.79,3.78,3.8,80.0,699.0,23.14,2024-01-01 00:00:31,0.3048,0.3048,0.3072,0.30319999999999997,0.3024,0.304,1.8512
