B1,B2,B3,B4,B5,B6,I,T,VT,TIME,PB1,PB2,PB3,PB4,PB5,PB6,PVT
4.02,4.92,4.86,4.17,5.38,4.32,84.0,22.2,23.31,2024-01-01 00:03:02,0.3376799999999999,0.41328,0.40824,0.35028,0.45192,0.36288,1.95804
3.99,4.45,4.16,4.04,5.38,4.25,84.0,22.2,23.26,2024-01-01 00:03:03,0.33516,0.3738,0.34944,0.33936,0.45192,0.357,1.9538400000000002
3.94,4.06,3.93,4.04,4.71,4.28,84.0,22.2,23.33,2024-01-01 00:03:05,0.33096,0.34103999999999995,0.33012,0.33936,0.39564,0.35952000000000006,1.95972
3.99,4.06,3.93,4.04,5.38,4.28,84.0,22.2,23.3,2024-01-01 00:03:06,0.33516,0.34103999999999995,0.33012,0.33936,0.45192,0.35952000000000006,1.9572
3.98,4.06,3.93,4.04,4.67,4.25,84.0,22.2,23.3,2024-01-01 00:03:08,0.33432,0.34103999999999995,0.33012,0.33936,0.39227999999999996,0.357,1.9572
3.98,4.06,3.93,4.05,5.38,4.29,80.0,22.2,23.27,2024-01-01 00:03:09,0.31839999999999996,0.3248,0.3144,0.324,0.4304,0.3432,1.8616
3.98,4.06,3.93,4.05,5.12,4.28,84.0,22.2,23.28,2024-01-01 00:03:11,0.33432,0.34103999999999995,0.33012,0.3402,0.43007999999999996,0.35952000000000006,1.95552
3.98,4.06,3.93,4.04,5.01,4.28,80.0,22.2,23.3,2024-01-01 00:03:12,0.31839999999999996,0.3248,0.3144,0.3232,0.40079999999999993,0.34240000000000004,1.864
3.98,4.06,3.93,4.04,4.39,4.28,84.0,22.2,23.26,2024-01-01 00:03:14,0.33432,0.34103999999999995,0.33012,0.33936,0.36876,0.35952000000000006,1.9538400000000002
3.98,4.06,3.93,4.05,4.89,4.28,80.0,22.2,23.28,2024-01-01 00:03:15,0.31839999999999996,0.3248,0.3144,0.324,0.3912,0.34240000000000004,1.8624
3.98,4.05,3.93,4.04,4.09,4.3,136.0,22.2,23.25,2024-01-01 00:03:17,0.54128,0.5508,0.5344800000000001,0.54944,0.55624,0.5848,3.162
3.98,4.06,3.93,4.04,4.33,4.3,80.0,22.2,23.27,2024-01-01 00:03:18,0.31839999999999996,0.3248,0.3144,0.3232,0.3464,0.344,1.8616
3.99,4.06,3.93,4.05,4.25,4.29,84.0,22.2,23.28,2024-01-01 00:03:20,0.33516,0.34103999999999995,0.33012,0.3402,0.357,0.36036,1.95552
3.98,4.06,3.93,4.05,4.46,4.26,80.0,22.2,23.26,2024-01-01 00:03:21,0.31839999999999996,0.3248,0.3144,0.324,0.3568,0.34079999999999994,1.8608000000000002
3.99,4.06,3.93,4.05,4.15,4.29,84.0,22.2,23.28,2024-01-01 00:03:23,0.33516,0.34103999999999995,0.33012,0.3402,0.3486,0.36036,1.95552
3.99,4.06,3.93,4.05,3.99,4.29,80.0,22.2,23.27,2024-01-01 00:03:24,0.31920000000000004,0.3248,0.3144,0.324,0.31920000000000004,0.3432,1.8616
3.97,4.06,3.93,4.02,3.81,4.29,84.0,22.2,23.31,2024-01-01 00:03:26,0.33348,0.34103999999999995,0.33012,0.3376799999999999,0.32004000000000005,0.36036,1.95804
3.98,4.06,3.93,4.08,3.97,4.28,80.0,22.2,23.26,2024-01-01 00:03:27,0.31839999999999996,0.3248,0.3144,0.32639999999999997,0.31760000000000005,0.34240000000000004,1.8608000000000002
3.98,4.06,3.93,4.14,4.08,4.29,80.0,22.2,23.31,2024-01-01 00:03:29,0.31839999999999996,0.3248,0.3144,0.3312,0.32639999999999997,0.3432,1.8648
3.98,4.06,3.94,4.17,3.92,4.38,80.0,22.2,23.25,2024-01-01 00:03:30,0.31839999999999996,0.3248,0.3152,0.3336,0.31360000000000005,0.3504,1.86
3.98,4.05,3.94,4.17,3.93,4.29,80.0,22.2,23.31,2024-01-01 00:03:32,0.31839999999999996,0.324,0.3152,0.3336,0.3144,0.3432,1.8648
3.99,4.06,3.96,4.27,4.01,4.28,80.0,22.2,23.3,2024-01-01 00:03:33,0.31920000000000004,0.3248,0.3168,0.34159999999999996,0.3208,0.34240000000000004,1.864
3.98,4.06,3.96,4.28,3.94,4.29,80.0,22.2,23.3,2024-01-01 00:03:35,0.31839999999999996,0.3248,0.3168,0.34240000000000004,0.3152,0.3432,1.864
3.97,4.06,3.97,4.29,4.14,4.29,80.0,22.2,23.32,2024-01-01 00:03:36,0.31760000000000005,0.3248,0.31760000000000005,0.3432,0.3312,0.3432,1.8656
3.99,4.06,3.95,4.17,4.12,4.34,80.0,22.2,23.31,2024-01-01 00:03:38,0.31920000000000004,0.3248,0.316,0.3336,0.3296,0.3472,1.8648
