IMPPT,IL,IBAT,VT,TIME,PMPPT,PL,PBAT
1385.6,-54.4,-1422.4,23.96,2024-01-01 00:16:16,33.198976,-1.303424,-34.080704000000004
1347.2,-54.4,-1396.8,23.96,2024-01-01 00:16:17,32.278912000000005,-1.303424,-33.467328
1340.8,-54.4,-1401.6,23.96,2024-01-01 00:16:18,32.125568,-1.303424,-33.582336
1342.4,-54.4,-1398.4,23.97,2024-01-01 00:16:19,32.177328,-1.3039679999999998,-33.519648000000004
1352.0,-54.4,-1396.8,23.97,2024-01-01 00:16:20,32.40744,-1.3039679999999998,-33.48129599999999
1344.0,-54.4,-1406.4,23.97,2024-01-01 00:16:22,32.21568,-1.3039679999999998,-33.711408000000006
1342.4,-54.4,-1395.2,23.98,2024-01-01 00:16:23,32.190752,-1.304512,-33.456896
1337.6,-54.4,-1390.4,23.97,2024-01-01 00:16:24,32.062272,-1.3039679999999998,-33.327888
1342.4,-54.4,-1396.8,23.98,2024-01-01 00:16:25,32.190752,-1.304512,-33.495264000000006
1336.0,-54.4,-1390.4,23.98,2024-01-01 00:16:26,32.037279999999996,-1.304512,-33.341792
1337.6,-54.4,-1395.2,23.99,2024-01-01 00:16:28,32.089023999999995,-1.3050559999999998,-33.470848
1339.2,-54.4,-1393.6,23.99,2024-01-01 00:16:29,32.127408,-1.3050559999999998,-33.432463999999996
1336.0,-54.4,-1388.8,23.99,2024-01-01 00:16:30,32.05064,-1.3050559999999998,-33.317312
1337.6,-54.4,-1388.8,23.99,2024-01-01 00:16:31,32.089023999999995,-1.3050559999999998,-33.317312
1336.0,-54.4,-1387.2,23.99,2024-01-01 00:16:32,32.05064,-1.3050559999999998,-33.278928
1336.0,-54.4,-1388.8,24.0,2024-01-01 00:16:33,32.064,-1.3055999999999999,-33.331199999999995
1360.0,-54.4,-1372.8,23.98,2024-01-01 00:16:35,32.6128,-1.304512,-32.919744
1222.4,-54.4,-1260.8,23.95,2024-01-01 00:16:36,29.27648,-1.3028799999999998,-30.196159999999995
1150.4,-54.4,-1235.2,23.91,2024-01-01 00:16:37,27.506064000000002,-1.3007039999999999,-29.533632
